SceneId,SceneName,SceneText
场景ID,场景名称,场景描述
10,吉芬北部,在吉芬北部某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
12,吉芬西部,在吉芬西部某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
23,吉芬东部,在吉芬东部某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
1,普隆德拉西门,在普隆德拉西门某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
5,普隆德拉北门,在普隆德拉北门某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
7,普隆德拉,在普隆德拉某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
4,普隆德拉南门,在普隆德拉南门某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
8,哥布灵森林,在哥布灵森林某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
21,伊斯鲁得,在伊斯鲁得某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
20,柏伊亚岚岛,在柏伊亚岚岛某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
13,波利岛,在波利岛某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
35,沙漠之桥,在沙漠之桥某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
25,梦罗克西部,在梦罗克西部某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
26,梦罗克,在梦罗克某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
16,吉芬,在吉芬某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
19,苏克拉特沙漠,在苏克拉特沙漠某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
47,斐扬,在斐扬某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
52,弓手村,在弓手村某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
50,艾尔贝塔,在艾尔贝塔某处\n(在附近开启相机，<color=$$Green$$>对焦点变绿</color>时拍摄)
