MajorID,EntrustType,ActivityType,Power,GuideType,AtlasCurtain,PowerCurtain,AtlasHeraldry,HeraldryIcon,Cost,ServerLevelLimit,Weight,RecommendationLabel,OverdueDelete,GMRefresh,ActivityName,SystemID,DependentSystemID,DungeonID,NpcID,Atlas,SystemIcon,RewardID,Position,ActivityTime,Text,ExtraText,GameTipsKey,ConfirmTips,NpcWithoutEntrust,SpecialTaskID,TaskID,TaskRandomType,AcceptNpc,FinishNpc,Mode,RefreshDate,UseMopUpCoupons,MopUpAward
委托ID,委托活动类型（101常规猫手等，102组队，103单人，104其他）,(1常规猫手恶魔等，2副本，3任务，4特殊任务奇闻等，不填坐标，5动态回收任务),势力枚举（1卢恩骑士团，2沙漠守望者，3阿尔奇商盟，4米德加兹教廷，5探险家协会，6吉芬评议会）,前置任务引导类型(1为npcbutton时引导，2为委托界面引导),势力图集（暂时废弃）,势力幕布（暂时废弃）,纹章图集,纹章icon,消耗(委托证明),任务匹配服务器等级上下限字段,随机权重,标签icon,过期任务是否删除，0或不填=不删除，1=删除,强制刷新配置,活动名称,OpenSystem功能ID,依赖的功能OpenSystem功能ID(),进入的副本ID,承载功能的npc,活动图集,活动大图,奖励预览ID,特殊寻路坐标点(场景ID=X=Y=Z),每日活动次数,活动描述信息,活动描述信息附加,对应GameTipsTable里面的玩法说明,接取任务/进入副本前的玩法说明,没有委托时的npc对话,特殊任务ID,对应任务ID,该类型下有3个参数：任务随机类型=接取npc随机类型=提交npc类型。\r\n任务随机类型分为3种：\r\n1、根据服务器进行任务id随机，即全服一致；\r\n2、根据个人进行任务id随机，即每个人都不同；\r\n3、任务不随机，即选择固定id的任务，多个默认选首个。\r\n接取Npc随机类型分为3种：\r\n1、根据服务器进行接取npc随机，即全服一致；\r\n2、根据个人进行接取npc随机，即每个人都不同；\r\n3、npc不随机，即选择固定id的npc，多个默认选首个。\r\n4、读取任务表里面的npc。\r\n提交npc类型分为2种：\r\n1、提交npc与接取npc相同，即该参数为1时FinishNpc字段不读；\r\n2、固定在一个npc处提交任务。\r\n3、读取任务表里面的提交npc。,接取npc，接取任务npc枚举=场景=权重，为数组结构，即接取npc可以配置多个，根据权重在其中进行随机。,提交任务npc枚举=场景，2个参数，提交npc最多只能配置1个；不配即视为不读该字段，提交npc与接取npc相同。,模式,在开服指定天数内必出现该任务,用于配置委托玩法是否可以扫荡以及扫荡券的消耗数量，其中空表示不可扫荡，数值表示扫荡券所需数量,配置扫荡获得奖励对应的AwardID（映射到AwardTable），支持竖线隔开
1,101,1,,2,,,Delegate01,UI_Delegate_Img_Emobaozang.png,,,,2,,,恶魔宝藏,5060,,,,,UI_Delegate_BigImg_Emobaozang.png,3900017,1=139.3075=7.387146=127.361|4=80.03355=10.01221=130.1374,10,前往普隆德拉西门或南门，寻找被困的小恶魔，解救之后有几率获得恶魔宝藏,其他冒险活动也可以获得小恶魔兑换券，用于开启额外的宝藏,,,今天没有发布该委托哦，请明天再来看一下吧,,,,,,单人,1|2|3|4|5|6|7|8,,
2,101,1,,1,,,Delegate01,UI_Delegate_Img_Maoshoushangdui.png,,45=0,,2,1,,猫手商队,5131,,,12007,,UI_Delegate_BigImg_Maoshoushangdui.png,3900011,50=165.74=17.27=140.74,1,帮助建设绵绵岛，提供物资就可获得声望，提升自己各种勋章的等级哦,,,,今天没有发布该委托哦，请明天再来看一下吧,,,,,,单人,1|2|3|4|5|6|7|8,,
3,102,2,4,1,Delegate,UI_Garderobe_TaskBG08.png,Delegate01,UI_Delegate_Img_Shenggeshilian.png,303=20,20=0,40,1,,,圣歌试炼,5050,,3,1199,,UI_Delegate_BigImg_Shenggeshilian.png,3900016,7=127.28=9.91=208.06,2,受教廷委托封印随机数量的魔物，注意拾取地面BUFF可提高效率！（推荐组队）,,,通过转动转盘刷新并击杀对应的魔物，获取最终奖励,今天没有发布该委托哦，请明天再来看一下吧,,,,,,单人/组队,1|3|5|6|7|8,2035015=2,3120010|3140060|3140060|3140100|3120020|3120020|3120020
4,102,2,1,1,Delegate,UI_Garderobe_TaskBG08.png,Delegate01,UI_Delegate_Img_Miwuzhisen.png,303=40,30=0,40,1,,,迷雾之森,5070,,7500,1251,,UI_Delegate_BigImg_Miwuzhisen.png,3900015,7=138.2375=9.851919=195.6039,1,迷雾之森自古以来有着神秘的面纱，传闻每次进入都是不同的路线，冒险家们需要先找到遗失的钥匙，然后战胜虎王残影才可获得胜利,,,这里的地图随机排列，冒险家们需要依次找到钥匙地图和MVP地图，战胜最后mvp才可获得胜利,今天没有发布该委托哦，请明天再来看一下吧,,,,,,组队,2|3|4|6|8,2035015=4,3130020|3130010
5,105,2,6,1,Delegate,UI_Garderobe_TaskBG01.png,Delegate01,UI_Delegate_Img_Gepiniyayiji.png,303=10,16=0,40,,,,葛帔尼亚遗迹,5073,,2088,1707,,UI_Delegate_BigImg_Gepiniyayiji.png,3900026,16=92.30=17.03=57.98,2,在黑暗迷宫中寻找光明，点燃熄灭的火盆，传递生存的希望。\n<color=$$Yellow$$>需要全程操作，但耗时短</color>,,3,靠近点燃的火盆采集火源，避开蛰伏的怪物，点亮熄灭的火盆,今天没有发布该委托哦，请明天再来看一下吧,,,,,,操作,1|3|4|6|7,2035015=1,3100090
6,105,2,2,1,Delegate,UI_Garderobe_TaskBG04.png,Delegate01,UI_Delegate_Img_Lingqiaoshilian.png,303=10,16=0,40,,,,灵巧试炼,5074,,8000,2030,,UI_Delegate_BigImg_Lingqiaoshilian.png,3900022,26=108.53=9.91=59.87,2,这里是技能密布的修罗场，需要不断移动，生存下去。\n<color=$$Yellow$$>需要全程操作，但耗时短</color>,,4,这里是技能密布的修罗场，需要不断移动，躲避技能，活到最后,今天没有发布该委托哦，请明天再来看一下吧,,,,,,操作,2|4|7,2035015=1,3100020
7,105,2,1,1,Delegate,UI_Garderobe_TaskBG04.png,Delegate01,UI_Delegate_Img_Jiaoguodieying.png,303=10,16=0,40,,,,教国谍影,5075,,2140,1227,,UI_Delegate_BigImg_Jiaoguodieying.png,3900021,7=61.81=10.00=185.44,2,阿卢纳贝兹教国派遣了不少间谍进入普隆德拉，请小心监视他们。\n<color=$$Yellow$$>需要全程操作，但耗时短</color>,,5,跟踪教国的间谍，保持一定的距离，既不丢失目标也不要引起怀疑,今天没有发布该委托哦，请明天再来看一下吧,,,,,,操作,1|3|5,2035015=1,3100010
8,103,3,5,1,Delegate,UI_Garderobe_TaskBG09.png,Delegate01,UI_Delegate_Img_Wuzhongtianran.png,303=20,41=0,40,,,,物种天然,90082,6030|9008,,,,UI_Delegate_BigImg_Wuzhongtianran.png,3900025,,1,这个世界中有很多顺应自然而生的资源，可以通过钓鱼获得，快去发现他们吧！\n<color=$$Yellow$$>可手动，也可购买道具自动，耗时较短</color>,,,完成钓鱼任务，体会生活的哲学,今天没有发布该委托哦，请明天再来看一下吧,,17000001=10,3=4=3,2593=47=10,,休闲,4|8,2035015=2,3110080
9,103,6,3,1,Delegate,UI_Garderobe_TaskBG06.png,Delegate01,UI_Delegate_Img_Paodianrenwu.png,303=20=17000510|303=40=17000520,16=0,40,,,,喷泉舞蹈会,90081,9008,,,,UI_Delegate_BigImg_Paodianrenwu.png,3900023,,1,如果你有时间，约上朋友来中央喷泉一起舞蹈，享受闲聊时光！\n<color=$$Yellow$$>几乎不需要操作，但耗时长(15分钟/30分钟)</color>,,21,接取任务后在喷泉附近会自动跳舞，玩家无需操作。,今天没有发布该委托哦，请明天再来看一下吧,,17000500=10,3=4=3,,,休闲,2|4|5|7,2035015=2|2035015=4,3110050
10,103,3,5,1,Delegate,UI_Garderobe_TaskBG05.png,Delegate01,UI_Delegate_Img_Yanluzhijing.png,303=20,16=0,20,,,,沿路之景,90086,9008,,,,UI_Delegate_BigImg_Yanluzhijing.png,3900025,,2,根据照片缩略图，找到目标拍摄，完成老人的心愿吧！\n<color=$$Yellow$$>需要在指引下进行一定的探索，如果熟悉地图耗时会比较短</color>,,7,根据任务导航的缩略图，找到目的地，打开相机对焦，当<color=$$Green$$>对焦点变绿</color>时，进行抓拍。,今天没有发布该委托哦，请明天再来看一下吧,,17000019=10,3=4=3,2592=47=10,,探索,2|3|6|8,2035015=2,3110080
11,103,3,3,1,Delegate,UI_Garderobe_TaskBG06.png,Delegate01,UI_Delegate_Img_Shoujidaoju.png,303=10,25=0,40,,,,收集道具,90084,9008,,,,UI_Delegate_BigImg_Shoujidaoju.png,3900023,,2,艾尔贝塔的商人需要你帮忙收集一些道具。\n<color=$$Yellow$$>需要收集道具，耗时短</color>,,,根据提示收集并提交道具完成任务,今天没有发布该委托哦，请明天再来看一下吧,,17000017=10,3=4=3,3135=50=10,,休闲,1|2|3|4|5|7,2035015=1,3100050
12,103,3,4,1,Delegate,UI_Garderobe_TaskBG03.png,Delegate01,UI_Delegate_Img_Mowushilian.png,303=20,20=0,40,,,,魔物试炼,90085,9008,,,,UI_Delegate_BigImg_Mowushilian.png,3900024,,1,盗贼公会发布魔物试炼，需击败比自身等级高的一定数量魔物！\n<color=$$Yellow$$>需要偶尔操作，耗时较长</color>,,,勇士需要击杀不低于自己等级的魔物，磨炼自己,今天没有发布该委托哦，请明天再来看一下吧,,17000005=10,3=4=3,1049=7=10,,能力,1|2|5|6,2035015=2,3110060
13,103,3,2,1,Delegate,UI_Garderobe_TaskBG07.png,Delegate01,UI_Delegate_Img_Baiyutuanlilian.png,303=20,16=0,40,,,,白羽团历练,90083,9008,,,,UI_Delegate_BigImg_Baiyutuanlilian.png,3900022,,2,白羽团发布了历练任务，可能需要冒险者完成若干不同的目标。\n<color=$$Yellow$$>需要偶尔操作，耗时较长</color>,,,白羽团发布了历练任务，卢恩王国各地的骑士团需要冒险者的帮助。,今天没有发布该委托哦，请明天再来看一下吧,,17000340=10,3=2=1,1291=7=10|1391=21=10|2031=26=10|2594=47=10|2800=50=10,,能力,1|2|3|4|5|6|7|8,2035015=2,3110020
14,103,3,6,1,Delegate,UI_Garderobe_TaskBG02.png,Delegate01,UI_Delegate_Img_Gaojimowuyanjiu.png,303=20,30=0,40,,,,高级魔物研究,90087,9008,,,,UI_Delegate_BigImg_Gaojimowuyanjiu.png,3900026,,1,城内的学者准备研究一下高级魔物的属性，需要强大的勇士击杀不定时刷新的首领级魔物。\n<color=$$Yellow$$>任务有一定难度，需要组队，耗时不稳定</color>,,,挑战精英、mini、mvp并战胜它们,今天没有发布该委托哦，请明天再来看一下吧,,17000012=10,3=4=3,1708=16=10,,能力,3|4|8,2035015=2,3110090
15,103,3,3,1,Delegate,UI_Garderobe_TaskBG06.png,Delegate01,UI_Delegate_Img_Maoyichuanshuoshouji.png,303=20,30=0,20,,,,贸易传说手记,90088,9008,,,,UI_Delegate_BigImg_Maoyichuanshuoshouji.png,3900023,,1,传闻各地商贸由于买入卖出价格差，使得商盟可从中获取不小的利益，正在招募冒险者积极参与呢！\n<color=$$Yellow$$>需要偶尔操作，耗时较长</color>,,13,通过低买高卖使得自己的商票达到要求的数额,今天没有发布该委托哦，请明天再来看一下吧,,17000018=10,3=4=3,9990=21=10,,策略,5|7,2035015=2,3110050
