ID,Type,ContentID,Text,ReaderPreviewPath,LocalizationArea
ID,类型,内容对应ID,文本,文本预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
400001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_71.png,
400002,1,,卢恩骑士团是卢恩王国皇室的权力执行机关，它是执法力量和军队的结合体，在卢恩初建国时期创立。骑士团中中设有六大骑士，分别是忠实骑士、名誉骑士、武艺骑士、礼仪骑士、虔诚骑士、谦让骑士。\r\n\r\n代表人物：古娜、赛依连\r\n重要事迹：处理卢恩地底集市起火事件,,
400101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_70.png,
400102,1,,刺客露克希在执行任务的过程中，意外卷入了白面具事件。\r\n本以为是一件无伤大雅的小事，但随后发生于卢恩王国普隆德拉地底集市的火灾，使露克希命丧当场。\r\n种种迹象揭示，露克希的死，是隐藏在偶然之下的必然。,,
400201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
400202,1,,记载着从创世神话到七圣贤斩杀世界之蛇耶梦加得建立卢恩王国，以及卢恩王国历史上重大事件的书籍。卢恩境内有一首非常盛行的、名为“建国神话”的歌谣，歌词即出自《卢恩史诗》建国神话章节。\r\n\r\n创造者：卡罗莫夫\r\n作用：记载卢恩王国重大历史事件,,
400301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_71.png,
400302,1,,世界之蛇耶梦加得入侵米德加兹大陆，造成毁灭性打击，七位勇者披荆斩棘，最终将大蛇斩杀，建立了卢恩王国，这七位勇者被后人称作七圣贤。而后，卢恩王国的下一任国王由七个家族选举产生。\r\n\r\n七大家族：海涅、雷本布鲁格、涅利乌斯、巴特、魏格纳、里哈尔特、凯渥宝乐格\r\n重要事迹：斩杀世界之蛇耶梦加得、建立卢恩王国,,
400401,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_70.png,
400402,1,,在阿卢纳贝兹教国，只有承诺终身侍奉芙蕾雅女神的信徒，才有资格获得白面具。\r\n\r\n创造者：教国\r\n作用：教国芙蕾雅信徒相互识别的道具,,
400501,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
400502,1,,《卢恩史诗》中记载，耶梦加得曾于远古文明末期侵入米德加兹大陆。七名勇士身先士卒，带领民众斩杀了耶梦加得。但是，耶梦加得临死前许下一个诅咒：最终杀死它的人类，将永远活在失去长子的痛苦中。\r\n而这位英雄正是特里斯坦一世。因此，特里斯坦一世决定将卢恩的继承制度改为选举制，即从七个王室之中选出得票最高的王子，加冕为卢恩新的国王。\r\n自此，卢恩-米德加兹王国正式成立。而那一年被史官认定为元年，记为A.W001年。,,
400601,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_71.png,
