danci,yinbiao,yisi,liju
toast,[toʊst],吐司、敬酒,A toast to your date. 为你的约会敬酒
Cheers,[tʃɪrz],干杯,
book the ticket, ,订票,
departure date, ,启程日期,
return date, ,返回日期,
package tour, ,跟团游,
sightseeing tour, ,观光游,
I don't particularly like, ,我不是特别喜欢,
I'd rather, ,我更、我宁愿,
terrific fabulous, ,极好的,
It says, ,指着书上的句子说,
eccentric,[ɪkˈsentrɪk],古怪的(人),
expiry date, ,有效期,
more or less, ,或多或少,
feast,[fiːst],盛宴,
flap,[flæp],拍打,
informal,[ɪnˈfɔːrm(ə)l],非正式的,
electronic device, ,电子设备,
jog,[dʒɑːɡ],慢跑,Shall we go for a jog in the park?
It sucks, ,很烂、很差劲,
some time ago, ,不久前,
out of the ordinary, ,非同寻常,
continent,[ˈkɑːntɪnənt],大陆、大洲,
and things like that, ,诸如此类,
interchangeable,[ˌɪntərˈtʃeɪndʒəb(ə)l],可互换的,
extravagant,[ɪkˈstrævəɡənt],奢侈的,
advocate,[ˈædvəkeɪt],提倡，拥护,
grocery,[ˈɡroʊsəri],杂货店,
Not necessarily, ,不见得把,
We will see., ,走着瞧把,
I'll get it., ,我来吧,
确定语气词, ,如下,"literally 实际上，(本意是""字面上的""，加强语气）
simply 完全的 (加强语气)
exactly 没错（表赞同）
genuinely 真的（加强语气）
definitely 肯定的（加强语气）
certainly 当然的
never 从不，不会（加强语气）
kind of 有点"
contradictory,[ˌkɑːntrəˈdɪktəri],矛盾的,
ultraviolet,[ˌʌltrəˈvaɪələt],紫外的 (简写)uv light,
devastating,[ˈdevəsteɪtɪŋ],毁灭性的,
destructive,[dɪˈstrʌktɪv],破坏性的,
deadly,[ˈdedli],致命的,
fatal,[ˈfeɪt(ə)l],致命的,
flooding,[ˈflʌdɪŋ],洪水,
demon,[ˈdiːmən],魔鬼，恶魔,
side by side, ,并肩并排,
quality service, ,优质服务,
to the point of, ,达到...的程度,
equivalent to, ,相当于,
straightforward,[ˌstreɪtˈfɔːrwərd],直截了当的,
significant,[sɪɡˈnɪfɪkənt],重要的，显著的,"There remained one significant problem.
There are no significant differences between the two groups of students."
come and go, ,花去花落、来来往往,
achieve,[əˈtʃiːv],达成、收获,
let's say, ,比如说,
complaint,[kəmˈpleɪnt],投诉，抱怨,
off the top of my head, ,不假思索，不经思考的,
towel,[ˈtaʊəl],毛巾,
wardrobe,[ˈwɔːrdroʊb],衣柜,
hanger,[ˈhæŋər],衣架,
prior to, ,在...之前,Prior to 200 B.C  在公元前200年以前
eve,[iːv],前夕，前一天,christmas eve  圣诞节前夕，平安夜
for instance, ,例如,
as with, ,就像...一样（这里有举例的含义）,"As with many technological revolutions, you are unlikely to be aware of it.  正如很多技术革命一样..."
impertinent,[ɪmˈpɜːrt(ə)nənt],不礼貌的,
pertinent,[ˈpɜːrt(ə)nənt],相关的[正式],She had asked some pertinent questions.
improper,[ɪmˈprɑːpər],不恰当的,
for good, ,永久的，一劳永逸的,
tale,[teɪl],故事,"fairy tale 神话故事
fairy 仙女
fairy land 仙境"
turn the tap off, ,关上水龙头,
award和reward辨析, ,award：比赛奖励,"reward：指对品德高尚的人的奖励，He earned the reward for his honesty.
prize 奖品"
luggage,[ˈlʌɡɪdʒ],行李,
retrieve,[rɪˈtriːv],找回,
following day, ,第二天,I had to wait until the following day to retrieve it.
in the meantime, ,在此期间,
underwear,[ˈʌndərwer],内衣,
pajamas,[pəˈdʒæməz],睡衣 per jia ma s,
sweatpants,[ˈswetpænts],运动裤,
festive mood, ,节日气氛,
parade,[pəˈreɪd],游行,
it's on the house, ,本店请客,
present,[ˈprez(ə)nt],当前的；在场的、出席的；礼物；颁发；展现、展示,
president,[ˈprezɪdənt],总统,
somehow,[ˈsʌmhaʊ],不知怎么的、“怎么说呢？这么说吧”,
