Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,LocalizationArea
任务ID（主线任务：1000000—1999999；支线任务：2000000—2999999；职业任务：3000000—3999999；日常任务：4000000—4999999；周常任务：5000000—5999999；引导任务：6000000—6999999；奇遇任务：7000000—7999999；公会任务：8000000—8999999；伊甸园任务：9000000—9999999；爱神任务：10000000—10999999；伊甸园加急：11000000—11999999；冒险任务：12000000—12999999；主题副本：13000000—13999999；生活支线：14000000—14999999）,前置任务ID（任务ID|任务ID……；满足其中一个即可，是“或”的关系，可为空）,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制里面的所有任务才算完成所有前置，这个字段里面的id是“与”的关系，可为空）,任务名称,任务简单描述,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周常任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急；冒险任务，类型是12；副本任务，类型是13；生活支线 14；）,所属章节（注意：此字段在热更时会调用，必须配置，每章最好控制在20个任务以内，减少消耗）,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,接取job等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空，任务道具给的道具记得在这里回收）,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,任务限制销毁,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，仅是父任务组要配置；如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,任务目标1：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,任务特殊信息,目标1描述,任务目标2：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标2特殊参数,目标2描述,任务目标3：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体请查看说明文档，路径：rodoc\策划\配置说明文档）\r\n,是否在完成任务的时候飘任务完成的特效反馈,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度，本字段暂时无效）,奖励ID（对应奖励表ID）,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag,是否隐藏npc头顶符号,任务追踪界面奖励预览展示（配置道具ID，不配置则不显示）,是否屏蔽该任务（如果任务通过调整等级，暂时屏蔽了，需要在这里配置，默认0，不屏蔽）,功能开启限制（即使其他条件达成，也需要该功能开启后才会推送该任务，如果已经推送的任务，中途后台关闭了该功能，则也会在刷新任务列表时隐藏该任务）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
15002000,,,吉芬的阴影,,15,15014,,,45=0,0=0,0=0,0,2,,0,0,,,10851=16,,,0,1,1,3,1,1,2,,,,,1|10851=16,WorldTask_15002000_exec1,向忧心忡忡的市民打探情报,3|200957=1|49=44.82=17.98=35.07,,调查图书馆的神秘声音,1|10852=49,WorldTask_15002000_exec2,对话娜塔莉,7|2802=1|49=55.82=17.98=44.00,,通关副本“吉芬的阴影”,1|10852=49,WorldTask_15002000_exec3,对话娜塔莉,2,1=0=3=10851=16=43.98=17.01=107.14=180.00|4=1=14=1=0=11236|4=1=11=200957=1=49=44.82=17.98=35.07|4=2=3=10852=49=41.84=17.98=34.08=254.21|4=2=14=2=10852=11237|4=2=12=200957=1|3=0=4=10852|3=0=4=10851|4=3=20=49=3|4=4=21=49=3,,,,,据说最近吉芬的图书馆夜里一直传出诡异的女人哭声,成功安抚了不安的灵魂,15,WorldTask_15002000_accept,WorldTask_15002000_finish,,,,,
15003000,,,虚幻秘境,,15,15015,,,45=0,0=0,0=0,0,2,,0,0,,,10855=11,,,0,1,1,3,1,1,2,,,,,1|10855=11,WorldTask_15003000_exec,传送门的守护者需要向你交代些事情,7|2807=1|11=80=1.74=130,,通关副本：虚空秘境,,,,,,,,,,2,1=0=3=10855=11=74.86=1.74=127.58=282.89|4=1=14=1=0=11239|3=0=4=10855|4=1=20=11=10|4=2=21=11=10,,,,,传闻大陆上会有一些特殊的秘境入口会不定时的出现,带着探索到的财宝离开,15,WorldTask_15003000_accept,WorldTask_15003000_finish,,,,,
15004000,,,金字塔异变,,15,15016,,,45=0,0=0,0=0,0,2,,0,0,,,10790=25,,,0,1,1,3,1,1,2,,,,,1|11039=508,WorldTask_15004000_exec,找到牧师被困在金字塔的朋友,2|1105=4|508=80.34=41.14=54.80,,击败守护传送阵的怪物,7|2801=1|508=87=41=43,,通关副本“金字塔异变”,,,,,,,2,4=2=20=508=6|4=3=21=508=6|4=3=3=10790=25=58.96=12.39=135.95=349.13|3=0=4=10790|1=0=3=11039=508=103.30=39.99=80.09=272.59|4=3=4=11039,,,,,金字塔里最近老是传来奇怪的动静，骑士团一直想找人去调查,又替骑士团解决了一桩潜在的威胁,15,WorldTask_15004000_accept,WorldTask_15004000_finish,,,,,
15005000,,,吉芬魔法师,,15,15017,,,45=0,0=0,0=0,0,2,,0,0,,,10792=16,,,0,1,1,3,1,1,2,,,,,1|11040=16,WorldTask_15005000_exec1,找到困惑的法师了解他为何如此纠结,27|6015=1|16=75.93=17.03=52.96,,使用物品“魔力感知仪”,5|0=1|16=50.55=17.03=92.97,,前往魔力异动点,1|10864=16,WorldTask_15005000_exec2,对话高阶巫师兰德里,7|2803=1|16=52=16=100,,通关副本“吉芬魔法师”,2,4=2=14=1=0=11243|4=2=3=10864=16=49.02=17.03=95.38=341.18|4=3=14=2=10864=11244|4=4=20=16=11|4=5=21=16=11|4=5=4=10864|4=5=3=10792=16=71.09=17.03=93.91=358.11|3=0=4=10792|1=0=3=11040=16=77.00=17.01=50.95=42.00|4=5=4=11040,,,,,有人观察到，最近吉芬城的夜里时不时会有特殊的魔法能量异动,吉芬城内应该能平静一段日子了,15,WorldTask_15005000_accept,WorldTask_15005000_finish,,,,,
15006000,,,哥布林杀手,,15,15018,,,45=0,0=0,0=0,0,2,,0,0,,,10858=8,,,0,1,1,3,1,1,2,,,,,1|10857=1,WorldTask_15006000_exec1,找到酒客向他打听“哥布灵杀手”,5|0=1|8=125.73=1.15=131.39,,前往哥布林森林,2|1015=5|8=113.06=1.15=124.53,,消灭跳出来的哥布林,1|10858=8,WorldTask_15006000_exec2,对话哥布林杀手,7|2805=1|8=104.83=1.94=92.05,,通关副本“哥布林杀手”,2,4=2=14=1=0=11240|4=3=3=10858=8=123.58=1.56=112.58=169.4|4=4=20=8=11|4=5=21=8=11|3=0=4=10858|1=0=3=10857=1=73.79=7.40=87.08=188.00|4=5=4=10857,,,,,酒馆里传说着一位哥布林杀手的英勇事迹,去大陆颂扬哥布林杀手的英勇事迹吧,15,WorldTask_15006000_accept,WorldTask_15006000_finish,,,,,
15007000,,,迷之商人,,15,15019,,,45=0,0=0,0=0,0,2,,0,0,,,,,,0,1,2,3,1,1,2,,,,,1|10853=47,WorldTask_15007000_exec1,根据萨拉的描述找到知情者打探情报,1|10854=47,WorldTask_15007000_exec2,找到迷之商人波迪卡,7|2808=1|513=63=26=57,,通关副本“迷之商人”,1|10854=47,WorldTask_15007000_exec3,对话波迪卡,3|200958=1|47=230.35=16.08=60.16,,挖掘到商人给你埋藏的宝藏,2,4=1=3=10854=47=200.19=16.08=72.21=320.06|4=1=14=1=0=11238|4=2=20=513=3|4=3=21=513=3|4=4=11=200958=1=47=230.35=16.08=60.16|4=5=12=200958=1|3=0=4=10854|1=0=3=10853=47=194.07=15.98=135.00=269.00|4=3=4=10853,,,,,听说卢恩王国境内一直有一个神秘的商人四处奔波,商人奖励了你丰厚的回报,15,WorldTask_15007000_accept,,,,,,
15008000,,,落难的公主,,15,15020,,,45=0,0=0,0=0,0,2,,0,0,,,10860=505,,,0,1,1,3,1,1,2,,,,,1|10859=20,WorldTask_15008000_exec1,找到海边的渔夫打听关于人鱼的传说,5|0=1|505=122.17=12.45=64.63,,前往海底洞窟,3|200959=1|505=148.15=12.45=59.50,,解除渔网,1|10860=505,WorldTask_15008000_exec2,对话人鱼公主,7|2811=1|511=216.20=20.03=203.94,,通关副本“落难公主”,2,4=1=3=10860=505=148.15=12.45=59.5=65.33|4=2=11=200959=1=505=149.2=12.45=60|4=2=14=2=10860=11241|4=3=12=200959=1|4=4=20=511=2|4=5=21=511=2|3=0=4=10860|1=0=3=10859=20=100.63=8.57=66.55=180.00|4=5=4=10859,,,,,据传闻有人在海底洞窟那儿见过会说话的人鱼,带着人鱼公主的奖励离开,15,WorldTask_15008000_accept,WorldTask_15008000_finish,,,,,
15009000,,,兽人事变,,15,15021,,,45=0,0=0,0=0,0,2,,0,0,,,10791=34,,,0,1,1,3,1,1,2,,,,,1|11041=34,WorldTask_15009000_exec,前往人族斥候的藏身位置和他交接,5|0=1|510=66.51=24.85=176.78,,前往兽人洞窟,3|200960=1|510=80.57=24.85=167.02,,安葬被兽人杀害的人类同胞,7|2809=1|510=73.48=24.85=141.40,,通过副本“兽人事变”,,,,2,4=1=3=10865=510=81.24=24.85=165.30=198.74|4=2=11=200960=1=510=80.95=24.85=166.45|4=2=14=1=0=11242|4=3=4=10865|4=3=12=200960=1|4=3=20=510=2|4=4=21=510=2|4=4=3=10791=34=64.66=6.44=172.30=306.23|3=0=4=10791|1=0=3=11041=34=85.47=6.32=187.12=180.00|4=4=4=11041,,,,,最近，兽人村落那一带不断传来人类失踪的消息,那帮兽人应该能暂时安分一阵子了,15,WorldTask_15009000_accept,WorldTask_15009000_finish,,,,,
15010000,,,偷梁换柱,,15,15022,,,45=0,0=0,0=0,0,2,,0,0,,,11028=7,,,0,1,1,3,1,1,2,,,,,1|10031=7,WorldTask_15010000_exec1,找到鲍里斯了解普隆德拉发生的问题,5|0=1|7=127.42=10.00=188.29,,按照鲍里斯的描述，前往教堂尖顶坍塌事故现场勘查,3|220016=1|7=131.71=9.80=201.46,,调查坠落的教堂尖顶，从中寻找线索,1|11028=7,WorldTask_15010000_exec2,将你从现场调查得到的结果向萨拉反馈,5|0=1|50=102.68=22.27=131.25,,通关副本“偷梁换柱”,2,4=1=3=11029=7=130.30=10.00=203.46=314.94|4=1=3=11030=7=133.03=10.00=203.26=1.12|4=1=3=11031=7=130.22=10.00=200.01=250.78|4=1=3=11032=7=130.10=10.00=203.07=254.00|4=1=3=11035=7=126.49=9.80=199.94=69.26|4=1=3=11036=7=129.93=9.80=196.69=24.26|4=1=3=11037=7=135.04=9.80=200.79=249.26|4=2=11=220016=1=7=131.33=9.80=202.81|4=3=12=220016=1|2=0=4=11029|2=0=4=11030|2=0=4=11031|2=0=4=11032|2=0=4=11035|2=0=4=11036|2=0=4=11037|3=0=4=11028|4=2=14=1=0=11557|4=3=14=1=0=11558|4=3=3=11028=7=143.96=9.80=165.34=226.98,,,,,普隆德拉大教堂的尖顶发生了垮塌，造成了一些人员伤亡。经过调查发现原本用来建造教堂尖顶的高级材料被换成了低级材料，才导致了事故，数据记录显示大教堂建造于百年前，材料来自艾尔贝塔的博尔特家族,教堂尖顶被偷梁换柱的历史真相得以揭开，可以回去向萨拉汇报了,15,WorldTask_15010000_accept,WorldTask_15010000_finish,,,,,
