Id,Name,Desc,information,Constellation,ConstellationAtlas,ConstellationIcon,comment,DefaultEquipID,PresentID,Scale,Sex,Picture,Prefab,MercenaryAtlas,MercenaryIcon,EntityID,Profession,SortID,Unlock,RecruitTask,Skill,Point,Duty,Schools,SchoolsText,Equip,BaseAttribute,AttributeGrowth,Talent,AdvancedCondition,AdvancedIconAtlas,AdvancedIcon,IsFAQImport,FunctionID
编号,名字,佣兵介绍,佣兵信息（生日日期|称号|爱好）,星座,星座Atlas,星座Icon,备注,裸模ID,模板ID,模型放大倍数,性别（0.男 1.女）,原画,显示模型,佣兵头像图集,佣兵头像,对应EntityID,职业,排序ID,解锁条件（1.等级2.成就点数3.具体成就4.前置任务5.消耗道具）,招募任务ID,技能,加点,职责,流派,流派说明,装备,基础属性,升级属性成长,天赋,进阶条件,进阶界面图标Atlas,进阶界面图标,用于【卡普拉咨询】导入确认的字段，该字段用于导入数据时的判断字段，填1则在web后台会导入该行数据,功能ID（用于新职业佣兵的功能开关）
101,雷金,拥有强大自信的剑士雷金，认为自己英俊无比，风流倜傥，自诩是伊斯鲁得的万人迷。但在看似吊儿郎当的外表下，却有着一颗对剑术十分认真的心，理想是成为卢恩王国最伟大的骑士，并不断地为目标努力着……,生日:8月17日birthday|称号:万人迷|爱好:研制香水、剑术、耍帅|性格:龟毛、热情,狮子座,Mercenary,UI_Mercenary_hxsz.png,男剑士,800120,20,1,0,MercenaryLH\UI_Mercenary_LH_QS_1.png,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,Mercenary,UI_Mercenary_Tx1_1.png,101,2000,2,1=28,20000310=20000330,1000010601=1=0=1|1000010701=1=0=1|200001=1=1=1|210114=10=1=1|200011=10=0=1|210115=10=1=30,200003,前排肉盾,体骑,,1101|1201|1301|1401|1501|1601,0=47=100|0=49=100|0=72=-12|0=75=4|0=51=10|0=53=0,13|4|0|4|1|1,50=100101|50=100201|55=100301|55=100401|60=100501|60=100601|70=100701|70=100801,40=20001200,Skill_School,UI_Skill_School_Tiqi.png,,
102,雷金,拥有强大自信的剑士雷金，认为自己英俊无比，风流倜傥，自诩是伊斯鲁得的万人迷。但在看似吊儿郎当的外表下，却有着一颗对剑术十分认真的心，理想是成为卢恩王国最伟大的骑士，并不断地为目标努力着……,生日:8月17日birthday|称号:万人迷|爱好:研制香水、剑术、耍帅|性格:龟毛、热情,狮子座,Mercenary,UI_Mercenary_hxsz.png,骑士（2转男剑士）,801020,1020,1,0,MercenaryLH\UI_Mercenary_LH_QS_1.png,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,Mercenary,UI_Mercenary_Tx1_1.png,101,2101,2,,,1000010601=1=0=1|1000010701=1=0=1|200001=1=1=1|210114=10=1=1|200011=10=0=1|210115=10=1=30,200003,前排肉盾,体骑,冲锋在前，吸收伤害,1101|1201|1301|1401|1501|1601,0=47=635|0=14=7|0=18=2|0=20=3|0=22=4|0=24=2|0=49=260|0=72=-10|0=75=160|0=51=50|0=53=40,25|0|0|0|0|0|6|0|4|1|1,50=100101|50=100201|55=100301|55=100401|60=100501|60=100601|70=100701|70=100801,,,,1,
111,莉莉拉,莉莉拉成为服事是一件非常偶然的事，\r\n在很小的时候，救助过一只小动物，随后就喜欢上了这种治愈的感觉。长大后的莉莉拉慢慢发现，其实有时候最难治愈的是人心……,生日:10月15日birthday|称号:光之神使|爱好:吃甜点、拍照、养宠物|性格:活泼、开朗、善良,天秤座,Mercenary,UI_Mercenary_fxtp.png,女服事,800131,31,1,1,MercenaryLH\UI_Mercenary_LH_MS_2.png,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,Mercenary,UI_Mercenary_Tx6_2.png,102,3000,3,1=28,20000510=20000530,1000010601=1=0=1|1000010701=1=0=1|300008=10=1=1|300002=6=1=10|300003=6=1=50|300001=5=1=1,300001,治疗辅助,赞美,,1103|1203|1303|1503|1603,0=47=100|0=49=100|0=75=2|0=51=10|0=53=0,9|8|2|1|1,50=200101|50=200201|55=200301|55=200401|60=200501|60=200601|70=200701|70=200801,40=20001300,Skill_School,UI_Skill_School_Zanmei.png,,
112,莉莉拉,莉莉拉成为服事是一件非常偶然的事，\r\n在很小的时候，救助过一只受伤的小动物，随后莉莉拉就喜欢上了这种治愈的感觉。长大后的莉莉拉慢慢发现，其实有时候最难治愈的是人心……,生日:10月15日birthday|称号:光之神使|爱好:吃甜点、拍照、养宠物|性格:活泼、开朗、善良,天秤座,Mercenary,UI_Mercenary_fxtp.png,神官（2转女服事）,801031,1031,1,1,MercenaryLH\UI_Mercenary_LH_MS_2.png,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,Mercenary,UI_Mercenary_Tx6_2.png,102,3101,3,,,1000010601=1=0=1|1000010701=1=0=1|300008=10=1=1|300002=6=1=10|300003=6=1=50|300001=5=1=1,300001,治疗辅助,赞美,团队辅助，BUFF治疗,1103|1203|1303|1503|1603,0=47=429|0=14=3|0=16=3|0=18=2|0=20=3|0=22=3|0=24=4|0=49=420|0=75=80|0=51=50|0=53=40,18|0|0|0|0|0|0|16|2|1|1,50=200101|50=200201|55=200301|55=200401|60=200501|60=200601|70=200701|70=200801,,,,1,
121,亚由美,亚由美从小就有一些缺陷，听力的丧失\r\n使她没有一个美好的童年，但无声的世界让她在魔法上获得了更好的专注力。学习魔法虽然让她恢复听力，却很难打开心扉与他人交流，亚由美实际上非常渴望友谊……,生日:11月20日birthday|称号:元素掌控者|爱好:阅读、冥想|性格:冷静、睿智,天蝎座,Mercenary,UI_Mercenary_sxtx.png,女法师,800141,41,1,1,MercenaryLH\UI_Mercenary_LH_WS_2.png,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,Mercenary,UI_Mercenary_Tx3_2.png,103,4000,4,1=42,20000000=20000020,1000010601=1=0=1|1000010701=1=0=1|400005=5=1=1|400001=5=1=1|400003=5=1=1,400001,远程输出,冰雷,,1103|1205|1305|1505|1605,0=47=100|0=49=100|0=75=2|0=51=10|0=53=0,10|9|2|1|1,50=300101|50=300201|55=300301|55=300401|60=300501|60=300601|70=300701|70=300801,40=20001400,Skill_School,UI_Skill_School_Binglei.png,,
122,亚由美,亚由美从小就有一些缺陷，听力的丧失\r\n使她没有一个美好的童年，但无声的世界让她在魔法上获得了更好的专注力。学习魔法虽然让她恢复听力，却很难打开心扉与他人交流，亚由美实际上非常渴望友谊……,生日:11月20日birthday|称号:元素掌控者|爱好:阅读、冥想、喜欢冰淇淋|性格:冷静、睿智,天蝎座,Mercenary,UI_Mercenary_sxtx.png,巫师（2转女法师）,801041,1041,1,1,MercenaryLH\UI_Mercenary_LH_WS_2.png,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,Mercenary,UI_Mercenary_Tx3_2.png,103,4101,4,,,1000010601=1=0=1|1000010701=1=0=1|400005=10=1=1|400001=10=1=1|400003=10=1=1|400006=10=1=1,400001,远程输出,冰雷,远程法术，控制输出,1103|1205|1305|1505|1605,0=47=485|0=16=8|0=18=1|0=20=4|0=22=2|0=24=3|0=49=460|0=75=80|0=51=50|0=53=40,18|0|0|0|0|0|18|2|1|1,50=300101|50=300201|55=300301|55=300401|60=300501|60=300601|70=300701|70=300801,,,,1,
131,乔诺,乔诺是梦罗克城出了名的痞子，街头巷\r\n尾的居民都爱谣传关于他的八卦，但曾经的乔诺并不是这样的人，一些变故，让他带上了一幅这样的面具……,生日:12月15日birthday|称号:痞子英雄|爱好:制毒、赌钱、|性格:跳脱、重情义,射手座,Mercenary,UI_Mercenary_hxss.png,男盗贼,800150,50,1,0,MercenaryLH\UI_Mercenary_LH_CK_1.png,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,Mercenary,UI_Mercenary_Tx2_1.png,104,5000,6,1=42,20000410=20000430,1000010601=1=0=1|1000010701=1=0=1|500001=1=1=1|500010=10=0=1|500025=10=1=20,500001,近战输出,双刀,,1105|1403|1205|1305|1505|1609,0=47=100|0=49=100|0=72=-18|0=75=2|0=51=10|0=53=0,12|4|0|2|1|1,50=500101|50=500201|55=500301|55=500401|60=500501|60=500601|70=500701|70=500801,40=20001700,Skill_School,UI_Skill_School_Shuangdao.png,,
132,乔诺,乔诺是梦罗克城出了名的痞子，街头巷\r\n尾的居民都爱谣传关于他的八卦，但曾经的乔诺并不是这样的人，一些变故，让他带上了一幅这样的面具……,生日:12月15日birthday|称号:痞子英雄|爱好:制毒、赌钱、|性格:跳脱、重情义,射手座,Mercenary,UI_Mercenary_hxss.png,2转男刺客,801050,1050,1,0,MercenaryLH\UI_Mercenary_LH_CK_1.png,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,Mercenary,UI_Mercenary_Tx2_1.png,104,5101,6,,,1000010601=1=0=1|1000010701=1=0=1|500001=1=1=1|500010=10=0=1|500025=10=1=20|510103=10=1=40,500001,近战输出,双刀,暴力近战，极致攻速,1105|1403|1205|1305|1505|1609,0=47=475|0=14=3|0=16=1|0=18=4|0=20=3|0=22=2|0=24=3|0=49=260|0=72=-12|0=75=80|0=51=50|0=53=40,24|0|0|0|0|0|0|6|0|2|1|1,50=500101|50=500201|55=500301|55=500401|60=500501|60=500601|70=500701|70=500801,,,,1,
141,申智,出生于斐扬制造箭袋世家的申智，多少\r\n有着一些大小姐的脾气，但从小极高的射箭天赋，让她很快成为年轻一辈中的箭术高手，偶尔的娇蛮任性却也显得十分可爱……,生日:3月8日birthday|称号:神之射手|爱好:恶作剧、购物|性格:傲娇、任性、正义,双鱼座,Mercenary,UI_Mercenary_sxsy.png,女弓手,800161,61,1,1,MercenaryLH\UI_Mercenary_LH_LR_2.png,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,Mercenary,UI_Mercenary_Tx5_2.png,105,7000,1,1=20,20000210=20000240,1000010601=1=0=1|1000010701=1=0=1|1000010501=1=1|700005=10=1=1|700004=10=1=1|700010=10=0=40,700001,远程输出,神射手,,1107|1205|1305|1505|1607,0=47=100|0=49=100|0=72=-10|0=75=2|0=51=10|0=53=0,10|4|0|2|1|1,50=400101|50=400201|55=400301|55=400401|60=400501|60=400601|70=400701|70=400801,40=20001600,Skill_School,UI_Skill_School_Lieying.png,,
