Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,LocalizationArea
任务ID（主线：1000000~1999999）,前置任务ID,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制ID的任务才算完成所有前置）,任务名称,任务简单描述,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周环任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急）,所属章节（注意：此字段在热更时会调用，必须配置，每章最好控制在20个任务以内，减少消耗）,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级）,接取job等级限制（最低等级=最高等级）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空）,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,限制任务（完成此处配置的任务，销毁被限制的一整章任务）,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,任务目标1,任务特殊信息,目标1描述,任务目标2,目标2特殊参数,目标2描述,任务目标3,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体配置方式请查看“Comments_task配置字段说明”sheet）\r\n,完成反馈是否在完成任务的时候飘,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度）,奖励ID,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag,NPC显示头顶符号。不配置则默认为0。若配置为1则该任务NPC不显示头顶符号。,任务追踪界面奖励预览展示（配置道具ID，不配置则不显示）,是否屏蔽该任务（如果任务通过调整等级，暂时屏蔽了，需要在这里配置，默认0，不屏蔽）,功能开启限制（即使其他条件达成，也需要该功能开启后才会推送该任务，如果已经推送的任务，中途后台关闭了该功能，则也会在刷新任务列表时隐藏该任务）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
19001300,,,驱逐悬赏,普隆德拉北门最近发生了不少溜溜猴欺负新手冒险者的事故，骑士团正在号召勇士前往当地驱逐魔物,19,19014,驱逐悬赏,,28=0,0=0,28=0,0,2,,,,,1010=7,1010=7,,,0,1,1,2,1,1,1,,,,,2|1024=25|5=118.07=10.11=96.10,,驱逐卫兵指定的溜溜猴，惩罚其最近的暴力行为,,,,,,,,,,,,,2,1=0=7=1024=10=5=122.79=10.11=114.73=25|2=0=8=1024=10,,,,1300010,骑士团正在召集勇士驱逐北门捣乱的溜溜猴,这些溜溜猴得到了惩罚，回去向卫兵汇报,21000,Explore_19001300_accept,Explore_19001300_finish,0,,,,
19001400,19001300,,水质污染,下水道地区滋生的大量浮勒盗虫对供应普隆德拉的水源造成了污染，城市卫兵针对这些害虫准备采取行动了,19,19015,水质污染,,33=0,0=0,33=0,0,2,,,,,1006=7,1006=7,,,0,1,1,2,1,1,1,,,,,2|1172=30|503=74.22=7.13=96.45,,消灭卫兵指定的浮勒盗虫，保障普隆德拉的水质安全,,,,,,,,,,,,,2,1=0=7=1172=4=503=74.22=7.13=96.45=4|3=0=8=1172=4,,,,1300020,供应普隆德拉的饮用水水质受到盗虫的污染，卫兵们正在找人解决这个问题,已经消灭了足量的害虫了，回去向卫兵汇报,21000,Explore_19001400_accept,Explore_19001400_finish,0,,,,
19001500,19001400,,研究材料,一位魔物学者正在研究吉芬周边的神奇魔物：狸猫，据说他会给予帮助他研究的冒险者不错的奖励,19,19016,研究材料,,38=0,0=0,38=0,0,2,,,,,1662=16,1662=16,,3060623=30,0,1,1,2,1,1,1,,,,,15|3060623=30|10=64.75=11.45=38.44,,收集足量的狸猫皮毛，帮助魔物学者完成他的研究,,,,,,,,,,,,,2,1=0=7=1023=15=10=64.75=11.45=38.44=20|3=0=8=1023=15,,,,1300030,吉芬一位魔物学者正找人帮助他开展狸猫研究,狸猫的皮毛收集够了，回去向魔物学者汇报,21000,Explore_19001500_accept,Explore_19001500_finish,0,,,,
19001600,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,刺客,,43=0,0=0,43=0,5000|5101|5102,2,,,,,13281=26,0=0,,,1,1,2,2,1,1,1,,,19001601|19001602,3,16|0=1|,,,,,,,,,,,,,,,2,5=0=3=13281=26=59.15=9.83=115.24=135.93,,,,1300040,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001600_accept,,0,,,,
19001601,,,精进之道|我擅长使用短剑，我要去海底洞窟狩猎螃蟹（小体型）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,短剑刺客,,43=0,0=0,43=0,5000|5101|5102,2,,,,,13281=26,0=0,,,1,1,2,2,1,1,1,,,,,2|1096=30|505=95.85=12.43=133.91,,前往海底洞窟击败指定数量的螃蟹，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13281,,,,1300050,和导师道别，去完成试炼,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,21000,Explore_19001611_accept,,0,,,,
19001602,,,精进之道|我擅长使用拳刃，我要去沙漠之桥狩猎狼（中体型）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,拳刃刺客,,43=0,0=0,43=0,5000|5101|5102,2,,,,,13281=26,0=0,,,1,1,2,2,1,1,1,,,,,2|1034=30|35=174.04=3.60=131.36,,前往沙漠之桥击败指定数量的狼，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13281,,,,1300060,和导师道别，去完成试炼,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,21000,Explore_19001611_accept,,0,,,,
19001610,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,骑士,,43=0,0=0,43=0,2000|2101|2102,2,,,,,13282=21,0=0,,,1,1,2,2,1,1,1,,,19001611|19001612,3,16|0=1|,,,,,,,,,,,,,,,2,5=0=3=13282=21=149.04=17.18=148.06=230.57,,,,1300070,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001610_accept,,0,,,,
19001611,,,精进之道|我擅长使用剑，我要去沙漠之桥狩猎狼（中体型）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,剑骑士,,43=0,0=0,43=0,2000|2101|2102,2,,,,,13282=21,0=0,,,1,1,2,2,1,1,1,,,,,2|1034=30|35=174.04=3.60=131.36,,前往沙漠之桥击败指定数量的狼，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13282,,,,1300080,和导师道别，去完成试炼,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,21000,Explore_19001611_accept,,0,,,,
19001612,,,精进之道|我擅长使用枪，我要去苏克拉特沙漠狩猎摩卡（大体型）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,枪骑士,,43=0,0=0,43=0,2000|2101|2102,2,,,,,13282=21,0=0,,,1,1,2,2,1,1,1,,,,,2|1124=30|19=93.63=12.14=93.63,,前往苏克拉特沙漠击败指定数量的摩卡，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13282,,,,1300090,和导师道别，去完成试炼,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,21000,Explore_19001611_accept,,0,,,,
19001620,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,猎人,,43=0,0=0,43=0,7000|7101|7102,2,,,,,13283=47,0=0,,,1,1,2,2,1,1,1,,,19001621|19001622,3,16|0=1|,,,,,,,,,,,,,,,2,5=0=3=13283=47=138.86=15.96=76.66=180.78,,,,1300100,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001620_accept,,0,,,,
19001621,,,精进之道|我擅长使用弓箭，我要去海底洞窟狩猎螃蟹（小体型）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,弓箭猎,,43=0,0=0,43=0,7000|7101|7102,2,,,,,13283=47,0=0,,,1,1,2,2,1,1,1,,,,,2|1096=30|505=95.85=12.43=133.91,,前往海底洞窟击败指定数量的螃蟹，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13283,,,,1300110,和导师道别，去完成试炼,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,21000,Explore_19001611_accept,,0,,,,
19001622,,,精进之道|我学会了动物杀手，我要去沙漠之桥狩猎狼（中体型）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,种族克制猎,,43=0,0=0,43=0,7000|7101|7102,2,,,,,13283=47,0=0,,,1,1,2,2,1,1,1,,,,,2|1034=30|35=174.04=3.60=131.36,,前往沙漠之桥击败指定数量的狼，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13283,,,,1300120,和导师道别，去完成试炼,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,21000,Explore_19001611_accept,,0,,,,
19001630,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,商人,,43=0,0=0,43=0,6000|6101|6102,2,,,,,13285=50,0=0,,,1,1,2,2,1,1,1,,,19001631|19001632,3,16|0=1|,,,,,,,,,,,,,,,2,5=0=3=13285=50=113.95=22.16=78.02=172.38,,,,1300130,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001630_accept,,0,,,,
19001631,,,精进之道|我擅长使用斧头，我要去苏克拉特沙漠狩猎摩卡（大体型）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,斧铁匠,,43=0,0=0,43=0,6000|6101|6102,2,,,,,13285=50,0=0,,,1,1,2,2,1,1,1,,,,,2|1124=30|19=93.63=12.14=93.63,,前往苏克拉特沙漠击败指定数量的摩卡，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13285,,,,1300140,和导师道别，去完成试炼,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,21000,Explore_19001611_accept,,0,,,,
19001632,,,精进之道|我学会了无视体型，可以接受任何体型的怪物试炼~,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,无视铁匠,,43=0,0=0,43=0,6000|6101|6102,2,,,,,13285=50,0=0,,,1,1,2,2,1,1,1,,,,,2|1124=30|19=93.63=12.14=93.63,,前往苏克拉特沙漠击败指定数量的摩卡，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13285,,,,1300150,和导师道别，去完成试炼,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,21000,Explore_19001611_accept,,0,,,,
19001640,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,牧师,,43=0,0=0,43=0,3101|3102,2,,,,,13286=7,0=0,,,1,1,2,2,1,1,1,,,19001641|19001642,3,16|0=1|,,,,,,,,,,,,,,,2,5=0=3=13286=7=123.53=9.80=203.41=181.40,,,,1300160,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001640_accept,,0,,,,
19001641,,,精进之道|我擅长使用锤，我要去沙漠之桥狩猎狼（中体型）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,锤牧师,,43=0,0=0,43=0,3101|3102,2,,,,,13286=7,0=0,,,1,1,2,2,1,1,1,,,,,2|1034=30|35=174.04=3.60=131.36,,前往沙漠之桥击败指定数量的狼，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13286,,,,1300170,和导师道别，去完成试炼,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,21000,Explore_19001611_accept,,0,,,,
19001642,,,精进之道|我是驱魔/赞美牧，我要去沉船迷宫狩猎白幽灵（恶魔系）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,不死牧,,43=0,0=0,43=0,3101|3102,2,,,,,13286=7,0=0,,,1,1,2,2,1,1,1,,,,,2|1104=30|507=77.75=11.44=153.42,,前往沉船迷宫击败制定数量的白幽灵，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13286,,,,1300180,和导师道别，去完成试炼,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,21000,Explore_19001611_accept,,0,,,,
19001650,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,巫师,,43=0,0=0,43=0,4000|4101|4102,2,,,,,13284=16,0=0,,,1,1,2,2,1,1,1,,,19001651|19001652,3,16|0=1|,,,,,,,,,,,,,,,2,5=0=3=13284=16=99.42=12.65=87.05=177.64,,,,1300190,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001650_accept,,0,,,,
19001651,,,精进之道|我能克制水属性魔物，我要去海底洞窟狩猎螃蟹（水属性）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,冰火巫师,,43=0,0=0,43=0,4000|4101|4102,2,,,,,13284=16,0=0,,,1,1,2,2,1,1,1,,,,,2|1096=30|505=95.85=12.43=133.91,,前往海底洞窟击败指定数量的螃蟹，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13284,,,,1300200,和导师道别，去完成试炼,,21000,Explore_19001611_accept,,0,,,,
19001652,,,精进之道|我能克制地属性魔物，我要去沙漠之桥狩猎狼（地属性）,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,风地巫师,,43=0,0=0,43=0,4000|4101|4102,2,,,,,13284=16,0=0,,,1,1,2,2,1,1,1,,,,,2|1034=30|35=174.04=3.60=131.36,,前往沙漠之桥击败指定数量的狼，完成导师的试炼,,,,,,,,,,,,,2,3=0=4=13284,,,,1300210,和导师道别，去完成试炼,,21000,Explore_19001611_accept,,0,,,,
19001670,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,武僧,,43=0,0=0,43=0,3201|3202,2,,,,,6500=75,0=0,,,1,1,2,2,1,1,1,,,,,2|1096=30|505=97.36=12.45=79.25,,前往海底洞窟击败指定数量的螃蟹，完成导师的试炼,,,,,,,,,,,,,2,1=0=18=505=97.36=12.45=79.25=153.00,,,,1300180,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001670_accept,,0,,,,
19001680,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,十字军,,43=0,0=0,43=0,2201|2202,2,,,,,6805=78,0=0,,,1,1,2,2,1,1,1,,,,,2|1094=30|507=62.47=11.44=69.70,,前往沉船迷宫击败指定数量的邪骸海盗，完成导师的试炼,,,,,,,,,,,,,2,1=0=18=507=62.47=11.44=69.70=312.00,,,,1300180,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001680_accept,,0,,,,
19001690,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,炼金术士,,43=0,0=0,43=0,6201|6202,2,,,,,7104=90,0=0,,,1,1,2,2,1,1,1,,,,,2|1101=30|521=109.04=36.75=275.89,,前往废弃矿坑击败指定数量的吉尔瑟，完成导师的试炼,,,,,,,,,,,,,2,1=0=18=521=109.04=36.75=275.89=270.00,,,,1300180,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001690_accept,,0,,,,
19001691,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,舞娘诗人,,43=0,0=0,43=0,7201|7202|7211|7212,2,,,,,17603=15,0=0,,,1,1,2,2,1,1,1,,,,,2|1020=30|505=116.68=12.45=121.92,,前往海底洞窟击败指定数量的拉达蛙，完成导师的试炼,,,,,,,,,,,,,2,1=0=18=505=116.68=12.45=121.92=351.00,,,,1300180,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001691_accept,,0,,,,
19001692,19001500,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,贤者,,43=0,0=0,43=0,4201|4202,2,,,,,18117=15,0=0,,,1,1,2,2,1,1,1,,,,,2|1034=30|35=174.04=3.60=131.36,,前往沙漠之桥击败指定数量的狼，完成导师的试炼,,,,,,,,,,,,,2,1=0=18=35=174.04=3.60=131.36=35,,,,,寻找导师，有新的冒险知识需要传授给你,,21000,Explore_19001692_accept,,0,,,,
19001660,19001601|19001602|19001611|19001612|19001621|19001622|19001631|19001632|19001641|19001642|19001651|19001652|19001670|19001680|19001690|19001691|19001692,,精进之道,导师寄信给你，说你转职毕业有一段时间了，需要去做一个试炼作为综合评定的跟踪反馈。,19,19017,乐园团交付,,43=0,0=0,43=0,0,2,,,,,10131=15,0=0,,,0,2,2,2,1,1,1,,,,,1|10131=15,Explore_19001660_exec,去找乐园团团长领取奖励吧,,,,,,,,,,,,,2,,,,,1300220,完成了导师要求的试炼，去普隆德拉找乐园团团长领取奖励吧,,21000,Explore_19001660_accept,,0,,,,
19001700,21000020,,矿坑清理计划,普隆德拉骑士团发布一则悬赏，似乎不仅对冒险者实力要要求，还要组队才能顺利地完成,19,19018,组队2,,63=0,0=0,63=0,0,2,,,,480,13287=7,13287=7,,,1,1,1,2,1,1,1,,,,,2|1180=40|521=295.17=36.94=260.13,,在限定时间内，击败足量的邪骸矿工和麦斯特，完成悬赏内容。<color=$$Blue$$>（建议组队完成）</color>,2|1183=20|521=298.04=36.76=197.94,,,,,,,,,,,,1,5=0=3=13287=7=97.67=10.00=215.46=180.00|3=0=4=13287|1=0=18=521=301.61=37.15=259.13=270.18,,,,1300230,骑士团在招募冒险者清理废弃矿坑，似乎是某个王室下达的命令<color=$$Blue$$>（建议组队完成）</color>,完成了悬赏的要求，快回去领取相应奖励吧,21000,Explore_19001700_accept,Explore_19001700_finish,0,,,,
19001710,19001660,,沉船猎魔小队,伊斯鲁得骑士团发布一则悬赏，似乎不仅对冒险者实力要要求，还要组队才能顺利地完成,19,19019,组队1,,48=0,0=0,48=0,0,2,,,,480,1382=21,1382=21,,,1,1,1,2,1,1,1,,,,,2|1094=40|507=71.13=11.45=66.1,,在限定时间内，击败足量的邪骸海盗和白幽灵，完成悬赏内容。<color=$$Blue$$>（建议组队完成）</color>,2|1104=20|507=71.13=11.45=66.1,,,,,,,,,,,,1,1=0=18=507=71.13=11.45=66.1=0,,,,1300240,骑士团在招募冒险者狩猎沉船迷宫魔物<color=$$Blue$$>（建议组队完成）</color>,完成了悬赏的要求，快回去领取相应奖励吧,21000,Explore_19001710_accept,Explore_19001710_finish,0,,,,
21000010,19001710,,兽人之乱,,19,19020,53级挑战清除任务线,,53=0,0=0,53=0,0,2,,,,,1228=7,1228=7,,,0,1,1,2,1,1,1,,,,,2|1131=40|34=92.86=6.32=170.75,,帮助骑士团消灭这些魔物<color=$$Blue$$>（建议组队完成）</color>,2|1130=40|34=110.35=6.32=154.96,,,,,,,,,,,,1,,,,,1300250,普隆德拉骑士团似乎遇到了一些困难，快去看看吧,完成了骑士团的委托，快去领取奖赏吧,21002,Challenge_21000010_accept,Challenge_21000010_finish,0,,,,
21000020,21000010,,金字塔魔影,,19,19021,58级挑战清除任务线,,58=0,0=0,58=0,0,2,,,,,14327=26,14327=26,,,0,1,1,2,1,1,1,,,,,2|1139=120|518=172.94=30.67=191.81,,帮助骑士团消灭这些魔物<color=$$Blue$$>（建议组队完成）</color>,,,,,,,,,,,,,1,5=0=3=14327=26=66.02=9.85=63.85=3.00|3=0=4=14327,,,,1300260,梦罗克骑士团似乎遇到了一些困难，快去看看吧,完成了骑士团的委托，快去领取奖赏吧,21002,Challenge_21000020_accept,Challenge_21000020_finish,0,,,,
21000040,19001700,,洞窟迷影,,19,19022,68级挑战清除任务线,,68=0,0=0,68=0,0,2,,,,,14329=47,14329=47,,,0,1,1,2,1,1,1,,,,,2|1193=100|514=109.46=30.13=100.77,,帮助骑士团消灭这些魔物<color=$$Blue$$>（建议组队完成）</color>,2|1194=100|514=108.92=30.13=85.35,,,,,,,,,,,,1,5=0=3=14329=47=130.38=15.98=149.89=206.00|3=0=4=14329,,,,1300270,斐扬骑士团似乎遇到了一些困难，快去看看吧,完成了骑士团的委托，快去领取奖赏吧,21002,Challenge_21000040_accept,Challenge_21000040_finish,0,,,,
21000050,21000040,,深入海底,,19,19023,73级挑战清除任务线,,73=0,0=0,73=0,0,2,,,,,1382=21,1382=21,,,0,1,1,2,1,1,1,,,,,2|1093=80|519=125.16=24.19=63.73,,帮助骑士团消灭这些魔物<color=$$Blue$$>（建议组队完成）</color>,2|1095=80|519=117.66=24.19=71.57,,,2|1188=80|519=93.60=24.19=97.54,,,,,,,,,1,,,,,1300280,依斯鲁得骑士团似乎遇到了一些困难，快去看看吧,完成了骑士团的委托，快去领取奖赏吧,21002,Challenge_21000050_accept,Challenge_21000050_finish,0,,,,
21000060,21000050,,峡谷怪虫,,19,19024,78级挑战清除任务线,,78=0,0=0,78=0,0,2,,,,,1687=16,1687=16,,,0,1,1,2,1,1,1,,,,,2|1019=120|68=55.98=54.52=195.00,,帮助骑士团消灭这些魔物<color=$$Blue$$>（建议组队完成）</color>,2|1259=120|68=65.38=54.52=226.14,,,,,,,,,,,,1,,,,,1300290,吉芬骑士团似乎遇到了一些困难，快去看看吧,完成了骑士团的委托，快去领取奖赏吧,21002,Challenge_21000060_accept,Challenge_21000060_finish,0,,,,
21000070,21000060,,森林中的野兽,,19,19025,83级挑战清除任务线,,83=0,0=0,83=0,0,2,,,,,1687=16,1687=16,,,0,1,1,2,1,1,1,,,,,2|1233=120|56=211.23=20.00=218.07,,帮助骑士团消灭这些魔物<color=$$Blue$$>（建议组队完成）</color>,2|1229=120|56=187.05=20.05=251.52,,,,,,,,,,,,1,,,,,1300300,吉芬骑士团似乎遇到了一些困难，快去看看吧,完成了骑士团的委托，快去领取奖赏吧,21002,Challenge_21000070_accept,Challenge_21000070_finish,0,,,,
21000080,21000070,,被操纵的木偶,,19,19026,88级挑战清除任务线,,88=0,0=0,88=0,0,2,,,,,1687=16,1687=16,,,0,1,1,2,1,1,1,,,,,2|1220=200|520=201.73=29.64=216.13,,帮助骑士团消灭这些魔物<color=$$Blue$$>（建议组队完成）</color>,,,,,,,,,,,,,1,1=0=18=520=201.74=29.64=216.12=39.10,,,,1300310,骑士团在招募冒险者前往吉芬塔三层，好像需要清理些什么魔物,完成了骑士团的委托，快去领取奖赏吧,21002,Challenge_21000080_accept,Challenge_21000080_finish,0,,,,
21000090,21000080,,海底里的美食？！,,19,19027,93级挑战清除任务线,,93=0,0=0,93=0,0,2,,,,,1382=21,1382=21,,,0,1,1,2,1,1,1,,,,,2|1273=200|523=65.66=25.34=163.49,,帮助骑士团消灭这些魔物<color=$$Blue$$>（建议组队完成）</color>,,,,,,,,,,,,,1,1=0=18=523=65.66=25.34=163.49=241.00,,,,1300320,骑士团在海底洞窟发现了什么意外的东西，正在招募冒险者，快去看看吧,完成了骑士团的委托，快去领取奖赏吧,21002,Challenge_21000090_accept,Challenge_21000090_finish,0,,,,11
21000100,21000090,,会飞的魔书,,19,19028,98级挑战清除任务线,,98=0,0=0,98=0,0,2,,,,,1687=16,1687=16,,,0,1,1,2,1,1,1,,,,,2|1303=200|526=164.58=50.91=297.24,,帮助骑士团消灭这些魔物<color=$$Blue$$>（建议组队完成）</color>,,,,,,,,,,,,,1,1=0=18=526=164.58=50.91=297.24=58.00,,,,1300330,吉芬骑士团似乎遇到了一些困难，快去看看吧,完成了骑士团的委托，快去领取奖赏吧,21002,Challenge_21000100_accept,Challenge_21000100_finish,0,,,,11
21000110,21000100,,墓地中的浪人,,19,19029,103级挑战清除任务线,,103=0,0=0,103=0,0,2,,,,,1687=16,1687=16,,,0,1,1,2,1,1,1,,,,,2|1308=200|529=116.48=15.89=138.10,,帮助骑士团消灭这些魔物<color=$$Blue$$>（建议组队完成）</color>,,,,,,,,,,,,,1,1=0=18=529=116.48=15.89=138.10=316.00,,,,1300340,骑士团正在招募冒险者去探索古城，快去问问吧,完成了骑士团的委托，快去领取奖赏吧,21002,Challenge_21000110_accept,Challenge_21000110_finish,0,,,,9
