ProfilePhotoID,ProfilePhotoName,SortID,Description,isHide,LocalizationArea,ShowTimeRules,ShowTimeRulesPara
头像ID,头像名称,排序id,描述,是否隐藏(配置1隐藏，0或不填正常显示),本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）,当ShowTimeRules配1时，ShowTimeRulesPara配自然时间，结束日期不能超过20301231，例：20210730=050000|20301231=045959\n4、当ShowTimeRules配2时，ShowTimeRulesPara配开服天数，例：1=100；当isHide填1时，ShowTime字段不生效,
1030001,喵利头像,1,累计发现喵利获得，通过波利观察手册领取,,,,
1030002,波利兔头像,2,累计发现波利兔获得，通过波利观察手册领取,,,,
1030003,哼利头像,3,累计发现哼利获得，通过波利观察手册领取,,,,
1030004,土拨利头像,4,累计发现土拨利获得，通过波利观察手册领取,,,,
1030005,幽灵波利头像,5,累计发现幽灵波利获得，通过波利观察手册领取,,,,
1030006,波波鱼头像,6,累计发现波波鱼获得，通过波利观察手册领取,,,,
1030007,甜蜜草莓头像,9,2020年秋夕活动——米莉的松饼屋，累计食用甜蜜草莓特色松饼获得,,9,,
1030008,浓情可可头像,11,2020年秋夕活动——米莉的松饼屋，累计食用浓情可可特色松饼获得,,9,,
1030009,蛋黄流沙头像,10,2020年秋夕活动——米莉的松饼屋，累计食用蛋黄流沙特色松饼获得,,9,,
1030010,芋泥满满头像,8,2020年秋夕活动——米莉的松饼屋，累计食用芋泥满满特色松饼获得,,9,,
1030011,飘香桂花头像,7,2020年秋夕活动——米莉的松饼屋，累计食用飘香桂花特色松饼获得,,9,,
1030012,神秘头像,12,2020年秋夕活动——米莉的松饼屋，累计食用神秘口味特色松饼获得,,9,,
1030013,南瓜姑娘头像,14,嘉年华商店中使用嘉年华纪念币兑换获得,,11,,
1030014,小恶魔狼头像,13,嘉年华商店中使用嘉年华纪念币兑换获得,,11,,
1030015,驯鹿少年头像,15,通过参与2020年雪花节雪仗原激战活动获得,,27,,
1030016,圣诞甜心头像,16,通过参与2020年雪花节雪仗原激战活动获得,,27,,
1030017,RAO上线纪念头像,21,通过参与RAO上线预注册活动获得,,2,,
1030018,幸福时光头像,22,通过参与周年庆典-集字兑换活动获得,,9,,
1030019,欢乐时光头像,23,通过参与周年庆典-集字兑换活动获得,,9,,
1030020,勇士少年头像,24,周年庆典精炼行动排名第6-20名获得,,9,,
1030021,勇士少女头像,25,周年庆典精炼行动排名第6-20名获得,,9,,
1030022,先锋少年头像,26,周年庆典精炼行动排名第2-5名获得,,9,,
1030023,先锋少女头像,27,周年庆典精炼行动排名第2-5名获得,,9,,
1030024,领袖少年头像,28,周年庆典-精炼行动排行榜第1名获得,,9,,
1030025,领袖少女头像,29,周年庆典-精炼行动排行榜第1名获得,,9,,
1030026,美味的草莓团子头像,30,2021年中秋活动——米莉的团子屋，累计食用草莓特色团子获得,,2,1,20210914=050000|20301231=045959
1030027,美味的可可团子头像,31,2021年中秋活动——米莉的团子屋，累计食用可可特色团子获得,,2,1,20210914=050000|20301231=045959
1030028,美味的栗子团子头像,32,2021年中秋活动——米莉的团子屋，累计食用栗子特色团子获得,,2,1,20210914=050000|20301231=045959
1030029,美味的橙子团子头像,33,2021年中秋活动——米莉的团子屋，累计食用橙子特色团子获得,,2,1,20210914=050000|20301231=045959
1030030,美味的抹茶团子头像,34,2021年中秋活动——米莉的团子屋，累计食用抹茶特色团子获得,,2,1,20210914=050000|20301231=045959
1030031,美味的芝麻团子头像,35,2021年中秋活动——米莉的团子屋，累计食用芝麻特色团子获得,,2,1,20210914=050000|20301231=045959
1030032,美味的泡菜蔬菜饼头像,36,2021年秋夕活动——米莉的蔬菜饼屋，累计食用泡菜口味蔬菜饼获得,,25,1,20210914=050000|20301231=045959
1030033,美味的胡萝卜蔬菜饼头像,37,2021年秋夕活动——米莉的蔬菜饼屋，累计食用胡萝卜口味蔬菜饼获得,,25,1,20210914=050000|20301231=045959
1030034,美味的海鲜蔬菜饼头像,38,2021年秋夕活动——米莉的蔬菜饼屋，累计食用海鲜口味蔬菜饼获得,,25,1,20210914=050000|20301231=045959
1030035,美味的南瓜蔬菜饼头像,39,2021年秋夕活动——米莉的蔬菜饼屋，累计食用南瓜口味蔬菜饼获得,,25,1,20210914=050000|20301231=045959
1030036,美味的鸡蛋蔬菜饼头像,40,2021年秋夕活动——米莉的蔬菜饼屋，累计食用鸡蛋口味蔬菜饼获得,,25,1,20210914=050000|20301231=045959
1030037,美味的神秘蔬菜饼头像,41,2021年秋夕活动——米莉的蔬菜饼屋，累计食用神秘口味蔬菜饼获得,,25,1,20210914=050000|20301231=045959
1031305,诗嘉古尔庇佑头像Ⅲ,42,时空漫游者系列任务奖励,,9,,
1031306,诗嘉古尔庇佑头像Ⅳ,43,时空漫游者系列任务奖励,,9,,
1031307,亚尔薇特祝福头像Ⅲ,44,时空漫游者系列任务奖励,,9,,
1031308,亚尔薇特祝福头像Ⅳ,45,时空漫游者系列任务奖励,,9,,
1031309,时空漫游者头像Ⅰ,46,通过神话商店兑换获得,,9,,
1031310,时空漫游者头像Ⅱ,47,通过神话商店兑换获得,,9,,
1030038,血色之光头像,48,2021年万圣节活动,,9,1,20211014=050000|20301231=045959
1030039,魅影之光头像,49,2021年万圣节活动,,9,1,20211014=050000|20301231=045959
1030040,RO上线纪念头像,50,通过参与RO上线预注册活动获得,,16,,
1030041,森林麋鹿少年,51,2021“来堆雪波利吧”活动奖励,,9,1,20211223=050000|20301231=045959
1030042,森林麋鹿少女,52,2021“来堆雪波利吧”活动奖励,,9,1,20211223=050000|20301231=045959
1031001,艾斯蜘蛛头像,1125,魔物图鉴艾斯蜘蛛研究等级到达Lv.8解锁,,,,
1031002,白蚁头像,1042,魔物图鉴白蚁研究等级到达Lv.8解锁,,,,
1031003,异变鱼头像,1133,魔物图鉴异变鱼研究等级到达Lv.8解锁,,,,
1031004,毕帝特地龙头像,1149,魔物图鉴毕帝特地龙研究等级到达Lv.8解锁,,,,
1031005,毕帝特飞龙头像,1146,魔物图鉴毕帝特飞龙研究等级到达Lv.8解锁,,,,
1031006,毕莱特头像,1088,魔物图鉴毕莱特研究等级到达Lv.8解锁,,,,
1031007,兵蚁头像,1032,魔物图鉴兵蚁研究等级到达Lv.8解锁,,,,
1031008,赤苍蝇头像,1127,魔物图鉴赤苍蝇研究等级到达Lv.8解锁,,,,
1031009,虫蛹头像,1003,魔物图鉴虫蛹研究等级到达Lv.8解锁,,,,
1031010,大斧犬妖头像,1153,魔物图鉴大斧犬妖研究等级到达Lv.8解锁,,,,
1031011,达拉蛙头像,1050,魔物图鉴达拉蛙研究等级到达Lv.8解锁,,,,
1031012,蛋壳小鸡头像,1008,魔物图鉴蛋壳小鸡研究等级到达Lv.8解锁,,,,
1031013,毒魔菇头像,1043,魔物图鉴毒魔菇研究等级到达Lv.8解锁,,,,
1031014,恶魔波利头像,1065,魔物图鉴恶魔波利研究等级到达Lv.8解锁,,,,
1031015,疯兔头像,1002,魔物图鉴疯兔研究等级到达Lv.8解锁,,,,
1031016,蜂兵头像,1093,魔物图鉴蜂兵研究等级到达Lv.8解锁,,,,
1031017,弓箭哥布灵头像,1095,魔物图鉴弓箭哥布灵研究等级到达Lv.8解锁,,,,
1031018,工蚁头像,1034,魔物图鉴工蚁研究等级到达Lv.8解锁,,,,
1031019,海盗之王头像,1098,魔物图鉴海盗之王研究等级到达Lv.8解锁,,,,
1031020,海葵头像,1051,魔物图鉴海葵研究等级到达Lv.8解锁,,,,
